Order_ID,Product_Category,Original_Price,Discount_Percent,Quantity_Sold,Customer_Type,Region,Discount_Amount,Final_Price,Revenue
1,Beauty,4180.62,15,3,Returning,East,627.09,3553.53,10660.59
2,Sports,454.13,50,6,Returning,South,227.06,227.07,1362.42
3,Home,3484.44,40,3,Returning,North,1393.78,2090.66,6271.98
4,Sports,2716.74,10,9,New,South,271.67,2445.07,22005.63
5,Sports,1957.89,25,4,Returning,West,489.47,1468.42,5873.68
6,Clothing,1767.35,50,4,New,East,883.68,883.67,3534.68
7,Home,3142.08,40,2,New,West,1256.83,1885.25,3770.5
8,Home,4465.88,30,2,Returning,West,1339.76,3126.12,6252.24
9,Home,2531.26,30,7,Returning,East,759.38,1771.88,12403.16
10,Sports,4141.14,0,5,New,East,0.0,4141.14,20705.7
11,Beauty,2070.57,20,3,Returning,East,414.11,1656.46,4969.38
12,Home,601.73,30,6,Returning,West,180.52,421.21,2527.26
13,Sports,401.38,5,6,Returning,North,20.07,381.31,2287.86
14,Clothing,351.54,25,1,New,West,87.88,263.66,263.66
15,Beauty,1962.74,5,3,Returning,North,98.14,1864.6,5593.8
16,Clothing,1752.46,10,5,New,South,175.25,1577.21,7886.05
17,Beauty,3617.89,0,7,Returning,East,0.0,3617.89,25325.23
18,Sports,3739.83,10,4,New,West,373.98,3365.85,13463.4
19,Electronics,349.18,30,8,New,North,104.75,244.43,1955.44
20,Beauty,1183.5,20,3,Returning,North,236.7,946.8,2840.4
21,Clothing,1443.88,15,6,New,North,216.58,1227.3,7363.8
22,Sports,2783.3,40,6,Returning,East,1113.32,1669.98,10019.88
23,Beauty,808.12,40,9,Returning,North,323.25,484.87,4363.83
24,Electronics,756.31,0,4,Returning,East,0.0,756.31,3025.24
25,Electronics,4724.57,50,7,Returning,West,2362.28,2362.29,16536.03
26,Home,4040.59,50,1,Returning,North,2020.3,2020.29,2020.29
27,Home,985.21,5,1,Returning,North,49.26,935.95,935.95
28,Clothing,2092.18,5,2,New,East,104.61,1987.57,3975.14
29,Beauty,1842.55,40,4,New,East,737.02,1105.53,4422.12
30,Beauty,3975.92,25,6,Returning,West,993.98,2981.94,17891.64
31,Home,2600.04,10,4,New,East,260.0,2340.04,9360.16
32,Beauty,726.46,5,6,Returning,West,36.32,690.14,4140.84
33,Beauty,3721.06,20,2,Returning,West,744.21,2976.85,5953.7
34,Electronics,2044.75,40,9,New,North,817.9,1226.85,11041.65
35,Home,1388.33,25,3,New,South,347.08,1041.25,3123.75
36,Sports,1939.94,10,7,Returning,South,193.99,1745.95,12221.65
37,Home,2539.01,50,1,Returning,East,1269.51,1269.5,1269.5
38,Sports,1781.27,40,8,Returning,East,712.51,1068.76,8550.08
39,Electronics,1285.34,25,4,Returning,South,321.33,964.01,3856.04
40,Clothing,2052.66,0,5,New,West,0.0,2052.66,10263.3
41,Beauty,193.95,5,7,New,South,9.7,184.25,1289.75
42,Electronics,3885.24,15,3,Returning,West,582.79,3302.45,9907.35
43,Beauty,937.63,5,9,New,West,46.88,890.75,8016.75
44,Clothing,315.13,10,9,New,East,31.51,283.62,2552.58
45,Clothing,3303.12,40,8,New,East,1321.25,1981.87,15854.96
46,Electronics,3892.29,50,1,New,East,1946.14,1946.15,1946.15
47,Clothing,4087.76,25,2,Returning,South,1021.94,3065.82,6131.64
48,Sports,2518.19,15,2,Returning,South,377.73,2140.46,4280.92
49,Clothing,1106.3,5,3,Returning,South,55.32,1050.98,3152.94
50,Beauty,3712.42,30,2,New,West,1113.73,2598.69,5197.38
51,Beauty,3528.59,30,1,New,East,1058.58,2470.01,2470.01
52,Beauty,1306.73,50,5,Returning,North,653.36,653.37,3266.85
53,Beauty,4526.7,20,6,Returning,South,905.34,3621.36,21728.16
54,Sports,611.42,15,7,Returning,North,91.71,519.71,3637.97
55,Home,4915.17,25,7,Returning,North,1228.79,3686.38,25804.66
56,Electronics,4315.21,5,2,New,South,215.76,4099.45,8198.9
57,Beauty,3470.7,5,7,Returning,South,173.54,3297.16,23080.12
58,Clothing,4699.87,50,2,Returning,South,2349.94,2349.93,4699.86
59,Beauty,3639.32,30,2,Returning,East,1091.8,2547.52,5095.04
60,Clothing,1033.24,30,6,New,North,309.97,723.27,4339.62
61,Clothing,2266.57,20,6,New,West,453.31,1813.26,10879.56
62,Beauty,450.36,30,8,Returning,North,135.11,315.25,2522.0
63,Sports,2009.32,50,5,New,West,1004.66,1004.66,5023.3
64,Clothing,3733.85,20,5,New,North,746.77,2987.08,14935.4
65,Clothing,1993.57,50,1,Returning,North,996.78,996.79,996.79
66,Beauty,1718.44,0,4,Returning,East,0.0,1718.44,6873.76
67,Clothing,3017.24,10,1,New,West,301.72,2715.52,2715.52
68,Clothing,4373.8,30,5,Returning,South,1312.14,3061.66,15308.3
69,Beauty,333.16,15,8,New,South,49.97,283.19,2265.52
70,Beauty,1988.81,5,1,New,East,99.44,1889.37,1889.37
71,Electronics,875.38,10,3,New,South,87.54,787.84,2363.52
72,Sports,3507.24,30,1,New,North,1052.17,2455.07,2455.07
73,Sports,618.05,40,6,Returning,East,247.22,370.83,2224.98
74,Clothing,3357.56,50,1,Returning,West,1678.78,1678.78,1678.78
75,Sports,1502.29,25,3,Returning,East,375.57,1126.72,3380.16
76,Clothing,1074.69,50,5,Returning,North,537.34,537.35,2686.75
77,Electronics,4688.13,15,5,New,East,703.22,3984.91,19924.55
78,Beauty,190.77,20,2,New,North,38.15,152.62,305.24
79,Beauty,2245.11,0,3,New,East,0.0,2245.11,6735.33
80,Beauty,205.97,50,9,New,West,102.98,102.99,926.91
81,Sports,2469.61,50,1,Returning,West,1234.8,1234.81,1234.81
82,Electronics,2555.13,50,1,New,South,1277.56,1277.57,1277.57
83,Sports,1676.15,10,2,New,North,167.62,1508.53,3017.06
84,Sports,747.59,40,8,Returning,South,299.04,448.55,3588.4
85,Electronics,1944.3,10,6,Returning,East,194.43,1749.87,10499.22
86,Electronics,3394.09,25,4,New,East,848.52,2545.57,10182.28
87,Electronics,3933.74,20,7,New,East,786.75,3146.99,22028.93
88,Electronics,2700.68,40,6,Returning,East,1080.27,1620.41,9722.46
89,Beauty,2990.19,10,9,Returning,West,299.02,2691.17,24220.53
90,Home,1083.02,0,6,Returning,East,0.0,1083.02,6498.12
91,Home,1507.92,50,2,New,West,753.96,753.96,1507.92
92,Electronics,893.29,50,3,New,South,446.64,446.65,1339.95
93,Home,1321.55,10,9,New,West,132.16,1189.39,10704.51
94,Home,1201.95,5,7,Returning,West,60.1,1141.85,7992.95
95,Electronics,2645.3,15,6,Returning,North,396.8,2248.5,13491.0
96,Home,2857.17,40,5,Returning,East,1142.87,1714.3,8571.5
97,Sports,4730.24,25,3,New,East,1182.56,3547.68,10643.04
98,Clothing,1058.3,0,4,New,East,0.0,1058.3,4233.2
99,Clothing,3244.21,40,1,Returning,South,1297.68,1946.53,1946.53
100,Electronics,4104.57,20,5,Returning,East,820.91,3283.66,16418.3
101,Beauty,2845.18,25,7,Returning,East,711.3,2133.88,14937.16
102,Electronics,1349.52,20,2,New,East,269.9,1079.62,2159.24
103,Beauty,1386.5,20,8,New,North,277.3,1109.2,8873.6
104,Clothing,292.34,10,6,Returning,West,29.23,263.11,1578.66
105,Electronics,1596.68,15,3,Returning,North,239.5,1357.18,4071.54
106,Sports,3748.56,20,2,New,East,749.71,2998.85,5997.7
